experiment,time_s,follower,cell,artifact_id,q_seg_max,qdot_seg_max,u_dot_bound,amplitude_guard_pass,slew_guard_pass,domain_pass,artifact_valid,lmi_margin_pass,effective_delay_mode_pass,authority
migration,0.00,1,C1,C1_SHARED_CERT_001,0.000770621288724,0,0.0696584326068,1,1,1,1,1,1,N
migration,0.00,2,C1,C1_SHARED_CERT_001,1.74663873702e-06,0,0.000189459780359,1,1,1,1,1,1,N
migration,0.00,3,C1,C1_SHARED_CERT_001,3.95881468926e-09,0,5.00986363052e-07,1,1,1,1,1,1,N
migration,0.00,4,C1,C1_SHARED_CERT_001,8.97278493356e-12,0,8.92180320098e-10,1,1,1,1,1,1,N
migration,0.02,1,C1,C1_SHARED_CERT_001,0.00050982268016,4.55062897394e-07,0.0564265167941,1,1,1,1,1,1,N
migration,0.02,2,C1,C1_SHARED_CERT_001,1.15553003958e-06,1.03180982737e-09,0.000153481852891,1,1,1,1,1,1,N
migration,0.02,3,C1,C1_SHARED_CERT_001,2.61904719773e-09,2.33848971028e-12,4.05845831403e-07,1,1,1,1,1,1,N
migration,0.02,4,C1,C1_SHARED_CERT_001,5.93615748059e-12,5.30273883578e-15,7.22811402204e-10,1,1,1,1,1,1,N
migration,0.04,1,C1,C1_SHARED_CERT_001,0.000509831030351,4.1750953222e-07,0.0555737860171,1,1,1,1,1,1,N
migration,0.04,2,C1,C1_SHARED_CERT_001,1.15554901397e-06,9.4871959855e-10,0.000151217813914,1,1,1,1,1,1,N
migration,0.04,3,C1,C1_SHARED_CERT_001,2.61909019852e-09,2.15003955019e-12,3.99855131678e-07,1,1,1,1,1,1,N
migration,0.04,4,C1,C1_SHARED_CERT_001,5.93625503953e-12,4.87794660027e-15,7.12201296778e-10,1,1,1,1,1,1,N
migration,0.06,1,C1,C1_SHARED_CERT_001,0.000509838661084,3.81536670352e-07,0.0547569107361,1,1,1,1,1,1,N
migration,0.06,2,C1,C1_SHARED_CERT_001,1.15556642659e-06,8.7063083728e-10,0.00014909000919,1,1,1,1,1,1,N
migration,0.06,3,C1,C1_SHARED_CERT_001,2.61912965735e-09,1.97294182844e-12,3.94225197667e-07,1,1,1,1,1,1,N
migration,0.06,4,C1,C1_SHARED_CERT_001,5.93634461463e-12,4.47875533815e-15,7.02230421841e-10,1,1,1,1,1,1,N
migration,0.08,1,C1,C1_SHARED_CERT_001,0.0191479373424,0.931928578531,21181.9257977,1,1,1,1,1,1,N
migration,0.08,2,C1,C1_SHARED_CERT_001,0.0187631609633,0.938124358059,25587.2450255,1,1,1,1,1,1,N
migration,0.08,3,C1,C1_SHARED_CERT_001,0.0188597286345,0.943010504756,30007.2663876,1,1,1,1,1,1,N
migration,0.08,4,C1,C1_SHARED_CERT_001,0.018694530822,0.934750569304,23370.6230638,1,1,1,1,1,1,N
migration,0.10,1,C1,C1_SHARED_CERT_001,0.0378201115004,0.933630230365,21222.2875287,1,1,1,1,1,1,N
migration,0.10,2,C1,C1_SHARED_CERT_001,0.0375254623248,0.938137073368,25589.6269736,1,1,1,1,1,1,N
migration,0.10,3,C1,C1_SHARED_CERT_001,0.0377188700467,0.942979179541,30008.6562928,1,1,1,1,1,1,N
migration,0.10,4,C1,C1_SHARED_CERT_001,0.0373866641685,0.934628629968,23369.4331732,1,1,1,1,1,1,N
migration,0.12,1,C1,C1_SHARED_CERT_001,0.056526912832,0.935359534275,21263.280846,1,1,1,1,1,1,N
migration,0.12,2,C1,C1_SHARED_CERT_001,0.0562875873335,0.938126298175,25591.3682526,1,1,1,1,1,1,N
migration,0.12,3,C1,C1_SHARED_CERT_001,0.0565775439235,0.942953833984,30010.2364007,1,1,1,1,1,1,N
migration,0.12,4,C1,C1_SHARED_CERT_001,0.0560765157684,0.934512601603,23368.39083,1,1,1,1,1,1,N
migration,0.14,1,C1,C1_SHARED_CERT_001,0.0752754838374,0.937446037276,21312.3961001,1,1,1,1,1,1,N
